PI_Index,PI_Last,PI_First,Institution,City,State,Zip_codes_recruited_from
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11201
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11202
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11203
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11204
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11205
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11206
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11207
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11208
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11209
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11210
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11211
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11212
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11213
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11214
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11215
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11216
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11217
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11218
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11219
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11220
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11221
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11222
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11223
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11224
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11225
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11226
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11228
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11229
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11230
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11231
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11232
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11233
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11234
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11235
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11236
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11237
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11238
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11239
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11240
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11241
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11242
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11243
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11244
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11245
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11247
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11248
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11249
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11251
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11252
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11254
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11255
16,Song,Lulu,Brooklyn College,Brooklyn,New York,11256
30,Tamis-LeMonda,Cathie,NYU,New York,New York,NA
17,Vishton,Peter ,College of William and Mary,Williamsburg,Virginia,23185
17,Vishton,Peter ,College of William and Mary,Williamsburg,Virginia,23187
17,Vishton,Peter ,College of William and Mary,Williamsburg,Virginia,23188
20,Walle,Eric ,UC Merced,Merced,California,95340
20,Walle,Eric ,UC Merced,Merced,California,95341
20,Walle,Eric ,UC Merced,Merced,California,95348
18,Wang,Su-Hua ,UC Santa Cruz,Santa Cruz,California,95060
18,Wang,Su-Hua ,UC Santa Cruz,Santa Cruz,California,95062
18,Wang,Su-Hua ,UC Santa Cruz,Santa Cruz,California,95064
18,Wang,Su-Hua ,UC Santa Cruz,Santa Cruz,California,95065
21,Warlaumont,Anne ,UC Merced,Merced,California,95340
21,Warlaumont,Anne ,UC Merced,Merced,California,95341
21,Warlaumont,Anne ,UC Merced,Merced,California,95348
19,Yu,Chen ,Indiana U,Bloomington,Indiana,47401
19,Yu,Chen ,Indiana U,Bloomington,Indiana,47403
19,Yu,Chen ,Indiana U,Bloomington,Indiana,47404
19,Yu,Chen ,Indiana U,Bloomington,Indiana,47404
19,Yu,Chen ,Indiana U,Bloomington,Indiana,47405
19,Yu,Chen ,Indiana U,Bloomington,Indiana,47406
19,Yu,Chen ,Indiana U,Bloomington,Indiana,47408
29,Namy,Laura,Emory,Atlanta,Georgia,30030
29,Namy,Laura,Emory,Atlanta,Georgia,30032
29,Namy,Laura,Emory,Atlanta,Georgia,30033
29,Namy,Laura,Emory,Atlanta,Georgia,30034 
29,Namy,Laura,Emory,Atlanta,Georgia,30047
29,Namy,Laura,Emory,Atlanta,Georgia,30083 
29,Namy,Laura,Emory,Atlanta,Georgia,30084 
29,Namy,Laura,Emory,Atlanta,Georgia,30087 
29,Namy,Laura,Emory,Atlanta,Georgia,30088 
29,Namy,Laura,Emory,Atlanta,Georgia,30305 
29,Namy,Laura,Emory,Atlanta,Georgia,30306 
29,Namy,Laura,Emory,Atlanta,Georgia,30307
29,Namy,Laura,Emory,Atlanta,Georgia,30310
29,Namy,Laura,Emory,Atlanta,Georgia,30316 
29,Namy,Laura,Emory,Atlanta,Georgia,30317 
29,Namy,Laura,Emory,Atlanta,Georgia,30318
29,Namy,Laura,Emory,Atlanta,Georgia,30319 
29,Namy,Laura,Emory,Atlanta,Georgia,30324 
29,Namy,Laura,Emory,Atlanta,Georgia,30341 
29,Namy,Laura,Emory,Atlanta,Georgia,30345 
29,Namy,Laura,Emory,Atlanta,Georgia,30360
29,Namy,Laura,Emory,Atlanta,Georgia,30093
29,Namy,Laura,Emory,Atlanta,Georgia,30080
29,Namy,Laura,Emory,Atlanta,Georgia,30097
29,Namy,Laura,Emory,Atlanta,Georgia,30101
29,Namy,Laura,Emory,Atlanta,Georgia,30340
29,Namy,Laura,Emory,Atlanta,Georgia,30024
